"Depth: TMD [m]","Depth: TVD [m]","RPM  [rpm]","WOB  [t]","Flow IN  [l/min]","ROP  [m/h]","Formation","Hardness index 100","Mohes Index"
"833","832.96","90","7","2606","52.4","Zarzaitine Moy","60","4.5 - 5.5"
"834","833.96","89","7","2607","45.7","Zarzaitine Moy","60","4.5 - 5.5"
"835","834.96","92","6","2608","87.5","Zarzaitine Moy","60","4.5 - 5.5"
"836","835.96","109","3","2607","52.1","Zarzaitine Moy","60","4.5 - 5.5"
"837","836.96","109","2","2606","83.1","Zarzaitine Moy","60","4.5 - 5.5"
"838","837.96","119","1","2607","65.5","Zarzaitine Moy","60","4.5 - 5.5"
"839","838.96","100","3","2609","25.9","Zarzaitine Moy","60","4.5 - 5.5"
"840","839.96","89","5","2619","89.2","Zarzaitine Moy","60","4.5 - 5.5"
"841","840.96","98","4","2616","65.3","Zarzaitine Moy","60","4.5 - 5.5"
"842","841.96","96","4","2615","64.6","Zarzaitine Moy","60","4.5 - 5.5"
"843","842.96","96","5","2616","93.2","Zarzaitine Moy","60","4.5 - 5.5"
"844","843.96","100","4","2617","77.8","Zarzaitine Moy","60","4.5 - 5.5"
"845","844.96","90","6","2618","79","Zarzaitine Moy","60","4.5 - 5.5"
"846","845.96","92","6","2617","77.2","Zarzaitine Moy","60","4.5 - 5.5"
"847","846.96","87","6","2617","88.4","Zarzaitine Moy","60","4.5 - 5.5"
"848","847.96","88","7","2618","83.9","Zarzaitine Moy","60","4.5 - 5.5"
"849","848.96","84","3","2600","33","Zarzaitine Moy","60","4.5 - 5.5"
"850","849.96","76","7","2596","91.1","Zarzaitine Moy","60","4.5 - 5.5"
"851","850.96","78","6","2596","88.1","Zarzaitine Moy","60","4.5 - 5.5"
"852","851.96","94","3","2598","49.6","Zarzaitine Moy","60","4.5 - 5.5"
"853","852.96","94","2","2600","90.3","Zarzaitine Moy","60","4.5 - 5.5"
"854","853.96","89","3","2600","43.3","Zarzaitine Moy","60","4.5 - 5.5"
"855","854.96","88","4","2598","78.7","Zarzaitine Inf","65","5 - 6"
"856","855.96","85","4","2598","57.4","Zarzaitine Inf","65","5 - 6"
"857","856.96","80","6","2598","32.8","Zarzaitine Inf","65","5 - 6"
"858","857.96","82","4","2610","24.5","Zarzaitine Inf","65","5 - 6"
"859","858.96","77","9","2621","63.3","Zarzaitine Inf","65","5 - 6"
"860","859.96","76","10","2620","74.2","Zarzaitine Inf","65","5 - 6"
"861","860.96","76","10","2620","73.2","Zarzaitine Inf","65","5 - 6"
"862","861.96","76","11","2620","76.6","Zarzaitine Inf","65","5 - 6"
"863","862.96","77","10","2619","78.3","Zarzaitine Inf","65","5 - 6"
"864","863.96","79","9","2619","86.9","Zarzaitine Inf","65","5 - 6"
"865","864.96","83","7","2620","85.4","Zarzaitine Inf","65","5 - 6"
"866","865.96","79","8","2619","94.8","Zarzaitine Inf","65","5 - 6"
"867","866.96","78","8","2616","30","Zarzaitine Inf","65","5 - 6"
"868","867.96","74","9","2594","83","Zarzaitine Inf","65","5 - 6"
"869","868.96","90","5","2594","91.1","Zarzaitine Inf","65","5 - 6"
"870","869.96","82","6","2594","73.4","Zarzaitine Inf","65","5 - 6"
"871","870.96","70","10","2593","60.9","Zarzaitine Inf","65","5 - 6"
"872","871.96","70","12","2593","70.1","Zarzaitine Inf","65","5 - 6"
"873","872.96","73","11","2594","70.9","Zarzaitine Inf","65","5 - 6"
"874","873.96","93","4","2594","75.6","Zarzaitine Inf","65","5 - 6"
"875","874.96","77","8","2594","74.6","Zarzaitine Inf","65","5 - 6"
"876","875.96","81","6","2593","106.5","Zarzaitine Inf","65","5 - 6"
"877","876.96","79","6","2605","32.6","Zarzaitine Inf","65","5 - 6"
"878","877.96","85","7","2608","73.7","Zarzaitine Inf","65","5 - 6"
"879","878.96","86","5","2608","85.7","Zarzaitine Inf","65","5 - 6"
"880","879.96","88","7","2607","34.6","Zarzaitine Inf","65","5 - 6"
"881","880.96","79","8","2606","109.9","Zarzaitine Inf","65","5 - 6"
"882","881.96","81","7","2605","129.9","Zarzaitine Inf","65","5 - 6"
"883","882.96","98","4","2607","97.5","Zarzaitine Inf","65","5 - 6"
"884","883.96","96","5","2607","61.4","Zarzaitine Inf","65","5 - 6"
"885","884.96","80","7","2607","20.3","Zarzaitine Inf","65","5 - 6"
"886","885.96","98","5","2598","19.4","Zarzaitine Inf","65","5 - 6"
"887","886.96","88","8","2599","51.2","Zarzaitine Inf","65","5 - 6"
"888","887.96","89","8","2600","34","Zarzaitine Inf","65","5 - 6"
"889","888.96","84","9","2600","34.9","Zarzaitine Inf","65","5 - 6"
"890","889.96","89","8","2599","27.2","Zarzaitine Inf","65","5 - 6"
"891","890.96","82","10","2600","49.3","Zarzaitine Inf","65","5 - 6"
"892","891.96","83","10","2600","37.5","Zarzaitine Inf","65","5 - 6"
"893","892.96","85","10","2599","34.3","Zarzaitine Inf","65","5 - 6"
"894","893.96","86","9","2599","43.2","Zarzaitine Inf","65","5 - 6"
"895","894.96","90","4","2603","10.5","Zarzaitine Inf","65","5 - 6"
"896","895.96","83","6","2604","32.2","Zarzaitine Inf","65","5 - 6"
"897","896.96","96","4","2604","24.5","Zarzaitine Inf","65","5 - 6"
"898","897.96","83","9","2604","63.3","Zarzaitine Inf","65","5 - 6"
"899","898.96","88","9","2605","85.5","Zarzaitine Inf","65","5 - 6"
"900","899.96","88","8","2605","81.1","Zarzaitine Inf","65","5 - 6"
"901","900.96","88","7","2606","94.7","Zarzaitine Inf","65","5 - 6"
"902","901.96","83","9","2606","116.6","Zarzaitine Inf","65","5 - 6"
"903","902.96","88","8","2606","139.5","Zarzaitine Inf","65","5 - 6"
"904","903.96","90","4","2602","21","Zarzaitine Inf","65","5 - 6"
"905","904.96","78","9","2601","88.4","Zarzaitine Inf","65","5 - 6"
"906","905.96","78","9","2599","24.5","Zarzaitine Inf","65","5 - 6"
"907","906.96","78","9","2599","48.5","Zarzaitine Inf","65","5 - 6"
"908","907.96","74","9","2600","86.5","Zarzaitine Inf","65","5 - 6"
"909","908.96","77","8","2598","99.4","Zarzaitine Inf","65","5 - 6"
"910","909.96","76","9","2598","91.9","Zarzaitine Inf","65","5 - 6"
"911","910.96","78","8","2598","86.3","Zarzaitine Inf","65","5 - 6"
"912","911.96","78","9","2600","66.3","Zarzaitine Inf","65","5 - 6"
"913","912.96","82","8","2599","42","Zarzaitine Inf","65","5 - 6"
"914","913.96","73","7","2610","31.9","Zarzaitine Inf","65","5 - 6"
"915","914.96","75","10","2614","76.2","Zarzaitine Inf","65","5 - 6"
"916","915.96","71","11","2615","65","Zarzaitine Inf","65","5 - 6"
"917","916.96","78","9","2615","23.7","Zarzaitine Inf","65","5 - 6"
"918","917.96","76","10","2613","42.7","Zarzaitine Inf","65","5 - 6"
"919","918.96","75","10","2612","70.9","Zarzaitine Inf","65","5 - 6"
"920","919.96","72","12","2612","77.5","Zarzaitine Inf","65","5 - 6"
"921","920.96","75","11","2614","45","Zarzaitine Inf","65","5 - 6"
"922","921.96","86","9","2614","33.9","Zarzaitine Inf","65","5 - 6"
"923","922.96","89","6","2607","25.1","Zarzaitine Inf","65","5 - 6"
"924","923.96","93","5","2593","114.6","Zarzaitine Inf","65","5 - 6"
"925","924.96","96","5","2594","92.9","Zarzaitine Inf","65","5 - 6"
"926","925.96","93","7","2594","115.5","Zarzaitine Inf","65","5 - 6"
"927","926.96","92","7","2593","66.7","Zarzaitine Inf","65","5 - 6"
"928","927.96","87","7","2593","91.1","Zarzaitine Inf","65","5 - 6"
"929","928.96","88","7","2592","104.8","Zarzaitine Inf","65","5 - 6"
"930","929.96","88","7","2592","98.5","Zarzaitine Inf","65","5 - 6"
"931","930.96","87","8","2591","80.8","Zarzaitine Inf","65","5 - 6"
"932","931.96","84","8","2591","24.7","Zarzaitine Inf","65","5 - 6"
"933","932.96","87","7","2601","29.7","Zarzaitine Inf","65","5 - 6"
"934","933.96","86","8","2602","55.8","Zarzaitine Inf","65","5 - 6"
"935","934.96","88","8","2601","68.9","Zarzaitine Inf","65","5 - 6"
"936","935.96","82","10","2601","28.8","Zarzaitine Inf","65","5 - 6"
"937","936.96","86","8","2602","51.8","Zarzaitine Inf","65","5 - 6"
"938","937.96","97","5","2601","60.2","Zarzaitine Inf","65","5 - 6"
"939","938.96","91","6","2602","38.5","Zarzaitine Inf","65","5 - 6"
"940","939.96","83","8","2602","47.4","Zarzaitine Inf","65","5 - 6"
"941","940.95","82","9","2602","65.3","Zarzaitine Inf","65","5 - 6"
"942","941.95","92","6","2600","23.9","Zarzaitine Inf","65","5 - 6"
"943","942.95","85","10","2600","72.7","Zarzaitine Inf","65","5 - 6"
"944","943.95","99","6","2600","66.5","Zarzaitine Inf","65","5 - 6"
"945","944.95","98","5","2599","39.5","Zarzaitine Inf","65","5 - 6"
"946","945.95","93","7","2600","21.4","Zarzaitine Inf","65","5 - 6"
"947","946.95","85","7","2600","108.6","Zarzaitine Inf","65","5 - 6"
"948","947.95","91","6","2600","85.5","Zarzaitine Inf","65","5 - 6"
"949","948.95","86","11","2600","13.6","Zarzaitine Inf","65","5 - 6"
"950","949.95","93","5","2602","73.5","Zarzaitine Inf","65","5 - 6"
"951","950.95","91","4","2600","40.1","Zarzaitine Inf","65","5 - 6"
"952","951.95","79","6","2582","83.3","Zarzaitine Inf","65","5 - 6"
"953","952.95","78","10","2583","16.8","Zarzaitine Inf","65","5 - 6"
"954","953.95","73","9","2584","43.3","Zarzaitine Inf","65","5 - 6"
"955","954.95","75","10","2584","36.9","Zarzaitine Inf","65","5 - 6"
"956","955.95","72","12","2581","54.3","Zarzaitine Inf","65","5 - 6"
"957","956.95","84","9","2580","97.7","Zarzaitine Inf","65","5 - 6"
"958","957.95","81","9","2579","104.8","Zarzaitine Inf","65","5 - 6"
"959","958.95","75","11","2579","55.7","Zarzaitine Inf","65","5 - 6"
"960","959.95","80","10","2580","19.9","Zarzaitine Inf","65","5 - 6"
"961","960.95","74","9","2581","27.7","Zarzaitine Inf","65","5 - 6"
"962","961.95","81","9","2582","28.6","Zarzaitine Inf","65","5 - 6"
"963","962.95","79","10","2581","33.3","Zarzaitine Inf","65","5 - 6"
"964","963.95","72","11","2582","44.8","Zarzaitine Inf","65","5 - 6"
"965","964.95","74","11","2583","61.9","Zarzaitine Inf","65","5 - 6"
"966","965.95","78","9","2583","50.4","Zarzaitine Inf","65","5 - 6"
"967","966.95","74","11","2582","65","Zarzaitine Inf","65","5 - 6"
"968","967.95","74","11","2583","48.7","Zarzaitine Inf","65","5 - 6"
"969","968.95","72","10","2583","72.4","Zarzaitine Inf","65","5 - 6"
"970","969.95","82","7","2588","24.5","Zarzaitine Inf","65","5 - 6"
"971","970.95","91","6","2603","49.3","Zarzaitine Inf","65","5 - 6"
"972","971.95","97","5","2602","68.9","Zarzaitine Inf","65","5 - 6"
"973","972.95","86","7","2602","108.5","Zarzaitine Inf","65","5 - 6"
"974","973.95","92","7","2602","48.3","Zarzaitine Inf","65","5 - 6"
"975","974.95","80","10","2602","39.5","Zarzaitine Inf","65","5 - 6"
"976","975.95","85","8","2601","51","Zarzaitine Inf","65","5 - 6"
"977","976.95","87","7","2603","42.7","Zarzaitine Inf","65","5 - 6"
"978","977.95","92","5","2603","95","Zarzaitine Inf","65","5 - 6"
"979","978.95","96","6","2605","46.2","Zarzaitine Inf","65","5 - 6"
"980","979.95","110","2","2587","24.8","Zarzaitine Inf","65","5 - 6"
"981","980.95","117","4","2581","37.7","Zarzaitine Inf","65","5 - 6"
"982","981.95","117","3","2580","48.3","Zarzaitine Inf","65","5 - 6"
"983","982.95","115","5","2582","37.2","Zarzaitine Inf","65","5 - 6"
"984","983.95","115","5","2582","36.1","Zarzaitine Inf","65","5 - 6"
"985","984.95","118","5","2580","27.5","Zarzaitine Inf","65","5 - 6"
"986","985.95","117","5","2582","15.5","Zarzaitine Inf","65","5 - 6"
"987","986.95","121","7","2583","8.7","Zarzaitine Inf","65","5 - 6"
"988","987.95","126","5","2586","43.5","Zarzaitine Inf","65","5 - 6"
"989","988.95","104","3","2591","12.1","Zarzaitine Inf","65","5 - 6"
"990","989.95","89","3","2595","10.7","Zarzaitine Inf","65","5 - 6"
"991","990.95","88","2","2594","32.9","Zarzaitine Inf","65","5 - 6"
"992","991.95","92","3","2596","22.3","Zarzaitine Inf","65","5 - 6"
"993","992.95","122","2","2596","29.8","Zarzaitine Inf","65","5 - 6"
"994","993.95","114","3","2595","47.3","Zarzaitine Inf","65","5 - 6"
"995","994.95","107","5","2594","39.6","Zarzaitine Inf","65","5 - 6"
"996","995.95","113","5","2595","12","Zarzaitine Inf","65","5 - 6"
"997","996.95","103","6","2593","26.6","Zarzaitine Inf","65","5 - 6"
"998","997.95","110","4","2593","42","Zarzaitine Inf","65","5 - 6"
"999","998.95","93","5","2626","20.7","Zarzaitine Inf","65","5 - 6"
"1000","999.95","97","5","2631","37.7","Zarzaitine Inf","65","5 - 6"
"1001","1000.95","95","5","2629","46.1","Zarzaitine Inf","65","5 - 6"
"1002","1001.95","89","7","2628","41.5","Zarzaitine Inf","65","5 - 6"
"1003","1002.95","97","6","2630","36","Zarzaitine Inf","65","5 - 6"
"1004","1003.95","88","8","2631","53.6","Zarzaitine Inf","65","5 - 6"
"1005","1004.95","92","8","2628","40.2","Zarzaitine Inf","65","5 - 6"
"1006","1005.95","88","8","2628","48.7","Zarzaitine Inf","65","5 - 6"
"1007","1006.95","89","8","2629","49.6","Zarzaitine Inf","65","5 - 6"
"1008","1007.95","90","7","2621","18.8","Zarzaitine Inf","65","5 - 6"
"1009","1008.95","80","4","2324","28.4","Zarzaitine Inf","65","5 - 6"
"1010","1009.95","76","4","2324","33.1","Zarzaitine Inf","65","5 - 6"
"1011","1010.95","76","4","2324","31","Zarzaitine Inf","65","5 - 6"
"1012","1011.95","74","4","2323","40.3","Zarzaitine Inf","65","5 - 6"
"1013","1012.95","76","4","2323","43","Zarzaitine Inf","65","5 - 6"
"1014","1013.95","77","4","2322","45.4","Zarzaitine Inf","65","5 - 6"
"1015","1014.95","79","3","2322","33.4","Zarzaitine Inf","65","5 - 6"
"1016","1015.95","87","3","2322","28.7","Zarzaitine Inf","65","5 - 6"
"1017","1016.95","84","2","2325","23.3","Zarzaitine Inf","65","5 - 6"
"1018","1017.95","83","3","2321","19","Zarzaitine Inf","65","5 - 6"
"1019","1018.95","88","6","2324","33.9","Zarzaitine Inf","65","5 - 6"
"1020","1019.95","91","4","2324","34.5","Zarzaitine Inf","65","5 - 6"
"1021","1020.95","93","4","2324","33.4","Zarzaitine Inf","65","5 - 6"
"1022","1021.95","83","6","2326","24.7","Zarzaitine Inf","65","5 - 6"
"1023","1022.95","83","7","2325","15.5","Zarzaitine Inf","65","5 - 6"
"1024","1023.95","96","4","2324","21.9","Zarzaitine Inf","65","5 - 6"
"1025","1024.95","96","4","2325","21.3","Westphalien-F","78","5,5 - 6"
"1026","1025.95","89","7","2327","8.5","Westphalien-F","78","5,5 - 6"
"1027","1026.95","87","5","2327","8.8","Westphalien-F","78","5,5 - 6"
"1028","1027.95","89","4","2331","20.4","Westphalien-F","78","5,5 - 6"
"1029","1028.95","95","3","2330","9.9","Westphalien-F","78","5,5 - 6"
"1030","1029.95","108","5","2331","37.2","Westphalien-F","78","5,5 - 6"
"1031","1030.95","119","5","2331","33.6","Westphalien-F","78","5,5 - 6"
"1032","1031.95","120","5","2330","25.5","Westphalien-F","78","5,5 - 6"
"1033","1032.95","116","5","2329","44","Westphalien-F","78","5,5 - 6"
"1034","1033.95","116","5","2329","27.5","Westphalien-F","78","5,5 - 6"
"1035","1034.95","119","3","2331","33.7","Westphalien-F","78","5,5 - 6"
"1036","1035.95","99","3","2316","14.5","Westphalien-F","78","5,5 - 6"
"1037","1036.95","96","4","2266","28.6","Westphalien-F","78","5,5 - 6"
"1038","1037.95","90","4","2267","46.8","Westphalien-F","78","5,5 - 6"
"1039","1038.95","120","4","2270","26.2","Westphalien-F","78","5,5 - 6"
"1040","1039.95","116","4","2270","56.8","Westphalien-F","78","5,5 - 6"
"1041","1040.95","114","5","2269","53.1","Westphalien-F","78","5,5 - 6"
"1042","1041.95","111","5","2268","53.2","Westphalien-F","78","5,5 - 6"
"1043","1042.95","114","6","2267","47.8","Westphalien-F","78","5,5 - 6"
"1044","1043.95","119","6","2269","26.6","Westphalien-F","78","5,5 - 6"
"1045","1044.95","121","3","2269","32.4","Westphalien-F","78","5,5 - 6"
"1046","1045.95","112","2","2303","13.8","Westphalien-F","78","5,5 - 6"
"1047","1046.95","102","2","2329","30.4","Westphalien-F","78","5,5 - 6"
"1048","1047.95","102","3","2330","31.6","Westphalien-F","78","5,5 - 6"
"1049","1048.95","99","4","2330","31","Westphalien-F","78","5,5 - 6"
"1050","1049.95","104","2","2329","42.8","Westphalien-F","78","5,5 - 6"
"1051","1050.95","105","2","2329","42.9","Westphalien-F","78","5,5 - 6"
"1052","1051.95","101","3","2328","38.9","Westphalien-F","78","5,5 - 6"
"1053","1052.94","102","3","2328","40.8","Westphalien-F","78","5,5 - 6"
"1054","1053.94","101","2","2327","45.4","Westphalien-F","78","5,5 - 6"
"1055","1054.94","102","2","2311","16.8","Westphalien-F","78","5,5 - 6"
"1056","1055.94","114","2","2305","39.8","Westphalien-F","78","5,5 - 6"
"1057","1056.94","126","1","2305","20.4","Westphalien-F","78","5,5 - 6"
"1058","1057.94","117","1","2308","67.8","Westphalien-F","78","5,5 - 6"
"1059","1058.94","114","2","2307","41.2","Westphalien-F","78","5,5 - 6"
"1060","1059.94","118","2","2306","53.4","Westphalien-F","78","5,5 - 6"
"1061","1060.94","116","1","2305","59","Westphalien-F","78","5,5 - 6"
"1062","1061.94","118","2","2304","49.3","Westphalien-F","78","5,5 - 6"
"1063","1062.94","120","1","2305","93.9","Westphalien-F","78","5,5 - 6"
"1064","1063.94","99","3","2307","20.1","Westphalien-F","78","5,5 - 6"
"1065","1064.94","93","3","2317","46.4","Westphalien-F","78","5,5 - 6"
"1066","1065.94","91","3","2316","61.2","Westphalien-F","78","5,5 - 6"
"1067","1066.94","98","2","2317","47.5","Westphalien-F","78","5,5 - 6"
"1068","1067.94","97","3","2315","48.5","Westphalien-F","78","5,5 - 6"
"1069","1068.94","92","4","2316","20.6","Westphalien-F","78","5,5 - 6"
"1070","1069.94","89","4","2314","19.5","Westphalien-F","78","5,5 - 6"
"1071","1070.94","91","4","2313","19.5","Westphalien-F","78","5,5 - 6"
"1072","1071.94","91","3","2313","19.1","Westphalien-F","78","5,5 - 6"
"1073","1072.94","89","3","2314","13.4","Westphalien-F","78","5,5 - 6"
"1074","1073.94","81","4","2303","23.6","Westphalien-F","78","5,5 - 6"
"1075","1074.94","82","4","2303","23","Westphalien-F","78","5,5 - 6"
"1076","1075.94","76","5","2302","24.9","Westphalien-F","78","5,5 - 6"
"1077","1076.94","85","3","2303","25.3","Westphalien-F","78","5,5 - 6"
"1078","1077.94","88","3","2305","23.8","Westphalien-F","78","5,5 - 6"
"1079","1078.94","83","4","2305","20.3","Westphalien-F","78","5,5 - 6"
"1080","1079.94","89","3","2304","23.7","Westphalien-F","78","5,5 - 6"
"1081","1080.94","88","3","2305","18.1","Westphalien-F","78","5,5 - 6"
"1082","1081.94","80","5","2306","25.2","Westphalien-F","78","5,5 - 6"
"1083","1082.94","91","3","2296","25.7","Westphalien-F","78","5,5 - 6"
"1084","1083.94","96","5","2285","51.2","Westphalien-F","78","5,5 - 6"
"1085","1084.94","111","4","2284","112.4","Westphalien-F","78","5,5 - 6"
"1086","1085.94","111","4","2284","76.6","Westphalien-F","78","5,5 - 6"
"1087","1086.94","117","2","2283","135.6","Westphalien-F","78","5,5 - 6"
"1088","1087.94","112","4","2283","166.9","Westphalien-F","78","5,5 - 6"
"1089","1088.94","105","5","2282","76","Westphalien-F","78","5,5 - 6"
"1090","1089.94","101","5","2283","41","Westphalien-F","78","5,5 - 6"
"1091","1090.94","100","6","2283","57.9","Westphalien-F","78","5,5 - 6"
"1092","1091.94","99","3","2296","16.8","Westphalien-F","78","5,5 - 6"
"1093","1092.94","101","4","2306","33","Westphalien-F","78","5,5 - 6"
"1094","1093.94","98","4","2304","26.9","Westphalien-F","78","5,5 - 6"
"1095","1094.94","100","4","2303","30.1","Westphalien-F","78","5,5 - 6"
"1096","1095.94","99","4","2304","43.8","Westphalien-F","78","5,5 - 6"
"1097","1096.94","93","6","2303","45.6","Westphalien-F","78","5,5 - 6"
"1098","1097.94","95","5","2304","54.2","Westphalien-F","78","5,5 - 6"
"1099","1098.94","93","6","2304","45.1","Westphalien-F","78","5,5 - 6"
"1100","1099.94","90","6","2304","47.1","Westphalien-F","78","5,5 - 6"
"1101","1100.94","89","7","2302","23.1","Westphalien-F","78","5,5 - 6"
"1102","1101.94","103","3","2283","39.6","Westphalien-F","78","5,5 - 6"
"1103","1102.94","109","3","2284","45.5","Westphalien-F","78","5,5 - 6"
"1104","1103.94","116","2","2286","52.3","Westphalien-F","78","5,5 - 6"
"1105","1104.94","102","5","2285","47.8","Westphalien-F","78","5,5 - 6"
"1106","1105.94","107","4","2285","53.5","Westphalien-F","78","5,5 - 6"
"1107","1106.94","110","4","2287","48.6","Westphalien-F","78","5,5 - 6"
"1108","1107.94","99","6","2286","59.4","Westphalien-F","78","5,5 - 6"
"1109","1108.94","101","7","2287","61.1","Westphalien-F","78","5,5 - 6"
"1110","1109.94","117","4","2285","101.4","Westphalien-F","78","5,5 - 6"
"1111","1110.94","116","2","2296","24.3","Westphalien-F","78","5,5 - 6"
"1112","1111.94","120","0","2322","98.9","Westphalien-F","78","5,5 - 6"
"1113","1112.94","108","3","2321","28.3","Westphalien-F","78","5,5 - 6"
"1114","1113.94","103","4","2319","27.2","Westphalien-F","78","5,5 - 6"
"1115","1114.94","113","3","2321","24.4","Westphalien-F","78","5,5 - 6"
"1116","1115.94","104","4","2320","37.2","Westphalien-F","78","5,5 - 6"
"1117","1116.94","109","3","2320","34.3","Westphalien-F","78","5,5 - 6"
"1118","1117.94","109","3","2318","34.8","Westphalien-F","78","5,5 - 6"
"1119","1118.94","109","3","2319","38","Westphalien-F","78","5,5 - 6"
"1120","1119.94","95","4","2319","17","Westphalien-F","78","5,5 - 6"
"1121","1120.94","84","7","2316","50.1","Westphalien-F","78","5,5 - 6"
"1122","1121.94","79","9","2314","43.5","Westphalien-F","78","5,5 - 6"
"1123","1122.94","84","7","2316","50.1","Westphalien-F","78","5,5 - 6"
"1124","1123.94","82","8","2317","58.4","Westphalien-F","78","5,5 - 6"
"1125","1124.94","80","8","2315","40.1","Westphalien-F","78","5,5 - 6"
"1126","1125.94","81","8","2316","39.7","Westphalien-F","78","5,5 - 6"
"1127","1126.94","81","8","2317","40.8","Westphalien-F","78","5,5 - 6"
"1128","1127.94","80","8","2317","41.8","Westphalien-F","78","5,5 - 6"
"1129","1128.94","79","9","2317","47.9","Westphalien-F","78","5,5 - 6"
"1130","1129.94","79","7","2318","25","Westphalien-F","78","5,5 - 6"
"1131","1130.94","89","9","2319","19.2","Westphalien-F","78","5,5 - 6"
"1132","1131.94","83","11","2317","31.2","Westphalien-F","78","5,5 - 6"
"1133","1132.94","85","11","2318","40.8","Westphalien-F","78","5,5 - 6"
"1134","1133.94","88","10","2318","41.6","Westphalien-F","78","5,5 - 6"
"1135","1134.94","87","9","2317","49.4","Westphalien-F","78","5,5 - 6"
"1136","1135.94","85","11","2317","46.7","Westphalien-F","78","5,5 - 6"
"1137","1136.94","95","8","2320","28.2","Westphalien-F","78","5,5 - 6"
"1138","1137.94","90","9","2320","54.4","Westphalien-F","78","5,5 - 6"
"1139","1138.94","88","6","2251","40","Westphalien-F","78","5,5 - 6"
"1140","1139.94","84","9","2087","84","Westphalien-F","78","5,5 - 6"
"1141","1140.94","83","10","2086","69","Westphalien-F","78","5,5 - 6"
"1142","1141.94","84","9","2085","83.8","Westphalien-F","78","5,5 - 6"
"1143","1142.94","109","4","2228","15.6","Westphalien-F","78","5,5 - 6"
"1144","1143.94","87","10","2217","36.8","Westphalien-F","78","5,5 - 6"
"1145","1144.94","91","11","2218","10.8","Westphalien-F","78","5,5 - 6"
"1146","1145.94","92","12","2220","9","Westphalien-F","78","5,5 - 6"
"1147","1146.94","91","11","2224","10.1","Westphalien-F","78","5,5 - 6"
"1148","1147.94","83","9","2225","23","Westphalien-F","78","5,5 - 6"
"1149","1148.94","87","9","2212","35","Westphalien-F","78","5,5 - 6"
"1150","1149.94","82","12","2212","32.9","Westphalien-F","78","5,5 - 6"
"1151","1150.94","86","11","2211","21.9","Westphalien-F","78","5,5 - 6"
"1152","1151.94","85","11","2213","25.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1153","1152.94","94","9","2213","11.7","Westphalien-Namurien-E","80","5,5 - 6,5"
"1154","1153.94","95","8","2213","9.7","Westphalien-Namurien-E","80","5,5 - 6,5"
"1155","1154.94","94","8","2212","16.6","Westphalien-Namurien-E","80","5,5 - 6,5"
"1156","1155.94","90","6","2212","32.9","Westphalien-Namurien-E","80","5,5 - 6,5"
"1157","1156.94","89","7","2212","41.7","Westphalien-Namurien-E","80","5,5 - 6,5"
"1158","1157.94","93","6","2212","11.1","Westphalien-Namurien-E","80","5,5 - 6,5"
"1159","1158.94","86","9","2217","9.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1160","1159.94","88","8","2220","8","Westphalien-Namurien-E","80","5,5 - 6,5"
"1161","1160.94","88","8","2221","38.5","Westphalien-Namurien-E","80","5,5 - 6,5"
"1162","1161.94","82","10","2220","56.8","Westphalien-Namurien-E","80","5,5 - 6,5"
"1163","1162.94","82","10","2223","54.5","Westphalien-Namurien-E","80","5,5 - 6,5"
"1164","1163.94","81","11","2223","31","Westphalien-Namurien-E","80","5,5 - 6,5"
"1165","1164.93","84","10","2222","29.5","Westphalien-Namurien-E","80","5,5 - 6,5"
"1166","1165.93","79","11","2222","43.9","Westphalien-Namurien-E","80","5,5 - 6,5"
"1167","1166.93","75","7","2217","19.2","Westphalien-Namurien-E","80","5,5 - 6,5"
"1168","1167.93","66","8","2214","10.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1169","1168.93","75","8","2217","14.6","Westphalien-Namurien-E","80","5,5 - 6,5"
"1170","1169.93","79","10","2217","11.7","Westphalien-Namurien-E","80","5,5 - 6,5"
"1171","1170.93","82","8","2218","10.9","Westphalien-Namurien-E","80","5,5 - 6,5"
"1172","1171.93","86","7","2219","10.5","Westphalien-Namurien-E","80","5,5 - 6,5"
"1173","1172.93","84","6","2219","27.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1174","1173.93","83","5","2218","33.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1175","1174.93","80","6","2219","44.7","Westphalien-Namurien-E","80","5,5 - 6,5"
"1176","1175.93","81","5","2219","32.9","Westphalien-Namurien-E","80","5,5 - 6,5"
"1177","1176.93","83","6","2204","9.1","Westphalien-Namurien-E","80","5,5 - 6,5"
"1178","1177.93","78","8","2198","21.3","Westphalien-Namurien-E","80","5,5 - 6,5"
"1179","1178.93","79","8","2198","23.4","Westphalien-Namurien-E","80","5,5 - 6,5"
"1180","1179.93","81","6","2199","30.8","Westphalien-Namurien-E","80","5,5 - 6,5"
"1181","1180.93","80","7","2197","30.1","Westphalien-Namurien-E","80","5,5 - 6,5"
"1182","1181.93","80","7","2196","29.6","Westphalien-Namurien-E","80","5,5 - 6,5"
"1183","1182.93","87","5","2195","21.4","Westphalien-Namurien-E","80","5,5 - 6,5"
"1184","1183.93","81","7","2195","25","Westphalien-Namurien-E","80","5,5 - 6,5"
"1185","1184.93","75","9","2193","37","Westphalien-Namurien-E","80","5,5 - 6,5"
